run_id,regime,seed,arm,evidence_strength,baseline_steps,attractor_belief,stable_window,local_probe_count,local_probes_passed,D_pre,D_immediate_first,D_immediate_last,D_final,D_post,delta_D,C_pre,C_post,C_post_defined_steps,normal_accepted,normal_rejected,acceptance_rate,rejection_rate,external_delivery_count,bypass_delivery_count,external_update_accepted_count,external_rejected_count,actual_revision_count,qualifying_revision_count,genuine_revision_count,apparent_correction_count,relapse_observed,relapse_rate_if_eligible,relapse_start_step,relapse_confirmation_step,time_to_relapse,time_to_relapse_from_last_injection,persistent_escape,persistent_escape_rate,normal_post_steps,steps_after_last_injection,classification,reference_corruption,reference_avoidance
descending_bridge_7_T2_repeated_0.75,descending_bridge,7,T2_repeated,0.75,120,0.0,80,120,True,1.0,0.0,0.475,1.0,1.0,0.0,0.975,0.99875,20,123,117,0.5125,0.4875,3,3,1,2,1,1,0,0,True,1,39,43,39,19,False,0,120,100,E_relapse,not_available,not_available
descending_bridge_7_T2_repeated_1.0,descending_bridge,7,T2_repeated,1.0,120,0.0,80,120,True,1.0,0.0,0.0,1.0,1.0,0.0,0.975,0.99875,20,102,138,0.425,0.575,3,3,2,1,2,2,0,0,True,1,79,83,79,59,False,0,120,100,E_relapse,not_available,not_available
descending_bridge_7_B_compliance_diagnostic_na,descending_bridge,7,B_compliance_diagnostic,,120,0.0,80,120,True,1.0,1.0,1.0,1.0,1.0,0.0,0.975,0.99875,20,123,117,0.5125,0.4875,1,1,0,0,0,0,0,1,False,,,,,,False,0,120,120,B_external_compliance,not_available,not_available
descending_bridge_17_C0_no_injection_na,descending_bridge,17,C0_no_injection,,120,0.0,80,120,True,1.0,1.0,1.0,1.0,1.0,0.0,0.975,0.99875,20,123,117,0.5125,0.4875,0,0,0,0,0,0,0,0,False,,,,,,False,0,120,120,control_stable_no_injection,not_available,not_available
descending_bridge_17_C1_ordinary_reference_na,descending_bridge,17,C1_ordinary_reference,,120,0.0,80,120,True,1.0,1.0,1.0,1.0,1.0,0.0,0.975,0.99875,20,123,117,0.5125,0.4875,3,0,0,3,0,0,0,0,False,,,,,,False,0,120,100,C_rejection,not_available,not_available
descending_bridge_17_T1_single_0.25,descending_bridge,17,T1_single,0.25,120,0.0,80,120,True,1.0,1.0,1.0,1.0,1.0,0.0,0.975,0.99875,20,123,117,0.5125,0.4875,1,1,0,1,0,0,0,0,False,,,,,,False,0,120,120,C_rejection,not_available,not_available
descending_bridge_17_T1_single_0.75,descending_bridge,17,T1_single,0.75,120,0.0,80,120,True,1.0,0.0,0.0,1.0,1.0,0.0,0.975,0.99875,20,123,117,0.5125,0.4875,1,1,1,0,1,1,0,0,True,1,39,43,39,39,False,0,120,120,E_relapse,not_available,not_available
descending_bridge_17_T1_single_1.0,descending_bridge,17,T1_single,1.0,120,0.0,80,120,True,1.0,0.0,0.0,1.0,1.0,0.0,0.975,0.99875,20,123,117,0.5125,0.4875,1,1,1,0,1,1,0,0,True,1,39,43,39,39,False,0,120,120,E_relapse,not_available,not_available
descending_bridge_17_T2_repeated_0.25,descending_bridge,17,T2_repeated,0.25,120,0.0,80,120,True,1.0,1.0,1.0,1.0,1.0,0.0,0.975,0.99875,20,123,117,0.5125,0.4875,3,3,0,3,0,0,0,0,False,,,,,,False,0,120,100,C_rejection,not_available,not_available
descending_bridge_17_T2_repeated_0.75,descending_bridge,17,T2_repeated,0.75,120,0.0,80,120,True,1.0,0.0,0.475,1.0,1.0,0.0,0.975,0.99875,20,123,117,0.5125,0.4875,3,3,1,2,1,1,0,0,True,1,39,43,39,19,False,0,120,100,E_relapse,not_available,not_available
descending_bridge_17_T2_repeated_1.0,descending_bridge,17,T2_repeated,1.0,120,0.0,80,120,True,1.0,0.0,0.0,1.0,1.0,0.0,0.975,0.99875,20,102,138,0.425,0.575,3,3,2,1,2,2,0,0,True,1,79,83,79,59,False,0,120,100,E_relapse,not_available,not_available
descending_bridge_17_B_compliance_diagnostic_na,descending_bridge,17,B_compliance_diagnostic,,120,0.0,80,120,True,1.0,1.0,1.0,1.0,1.0,0.0,0.975,0.99875,20,123,117,0.5125,0.4875,1,1,0,0,0,0,0,1,False,,,,,,False,0,120,120,B_external_compliance,not_available,not_available
descending_bridge_29_C0_no_injection_na,descending_bridge,29,C0_no_injection,,120,0.0,80,120,True,1.0,1.0,1.0,1.0,1.0,0.0,0.975,0.99875,20,123,117,0.5125,0.4875,0,0,0,0,0,0,0,0,False,,,,,,False,0,120,120,control_stable_no_injection,not_available,not_available
descending_bridge_29_C1_ordinary_reference_na,descending_bridge,29,C1_ordinary_reference,,120,0.0,80,120,True,1.0,1.0,1.0,1.0,1.0,0.0,0.975,0.99875,20,123,117,0.5125,0.4875,3,0,0,3,0,0,0,0,False,,,,,,False,0,120,100,C_rejection,not_available,not_available
descending_bridge_29_T1_single_0.25,descending_bridge,29,T1_single,0.25,120,0.0,80,120,True,1.0,1.0,1.0,1.0,1.0,0.0,0.975,0.99875,20,123,117,0.5125,0.4875,1,1,0,1,0,0,0,0,False,,,,,,False,0,120,120,C_rejection,not_available,not_available
descending_bridge_29_T1_single_0.75,descending_bridge,29,T1_single,0.75,120,0.0,80,120,True,1.0,0.0,0.0,1.0,1.0,0.0,0.975,0.99875,20,123,117,0.5125,0.4875,1,1,1,0,1,1,0,0,True,1,39,43,39,39,False,0,120,120,E_relapse,not_available,not_available
descending_bridge_29_T1_single_1.0,descending_bridge,29,T1_single,1.0,120,0.0,80,120,True,1.0,0.0,0.0,1.0,1.0,0.0,0.975,0.99875,20,123,117,0.5125,0.4875,1,1,1,0,1,1,0,0,True,1,39,43,39,39,False,0,120,120,E_relapse,not_available,not_available
descending_bridge_29_T2_repeated_0.25,descending_bridge,29,T2_repeated,0.25,120,0.0,80,120,True,1.0,1.0,1.0,1.0,1.0,0.0,0.975,0.99875,20,123,117,0.5125,0.4875,3,3,0,3,0,0,0,0,False,,,,,,False,0,120,100,C_rejection,not_available,not_available
descending_bridge_29_T2_repeated_0.75,descending_bridge,29,T2_repeated,0.75,120,0.0,80,120,True,1.0,0.0,0.475,1.0,1.0,0.0,0.975,0.99875,20,123,117,0.5125,0.4875,3,3,1,2,1,1,0,0,True,1,39,43,39,19,False,0,120,100,E_relapse,not_available,not_available
descending_bridge_29_T2_repeated_1.0,descending_bridge,29,T2_repeated,1.0,120,0.0,80,120,True,1.0,0.0,0.0,1.0,1.0,0.0,0.975,0.99875,20,102,138,0.425,0.575,3,3,2,1,2,2,0,0,True,1,79,83,79,59,False,0,120,100,E_relapse,not_available,not_available
descending_bridge_29_B_compliance_diagnostic_na,descending_bridge,29,B_compliance_diagnostic,,120,0.0,80,120,True,1.0,1.0,1.0,1.0,1.0,0.0,0.975,0.99875,20,123,117,0.5125,0.4875,1,1,0,0,0,0,0,1,False,,,,,,False,0,120,120,B_external_compliance,not_available,not_available
